5.00046,5
4.94258,4.94272
4.7722,4.77218
4.49228,4.4923
4.10948,4.10949
3.63251,3.63252
3.07231,3.07232
2.44171,2.44172
1.75516,1.75517
1.0284,1.02841
0.27808,0.278081
-0.478616,-0.478618
-1.22435,-1.22435
-1.94202,-1.94203
-2.6152,-2.61521
-3.22846,-3.22847
-3.76774,-3.76775
-4.22069,-4.22071
-4.57694,-4.57695
-4.82831,-4.82833
-4.96905,-4.96907
-4.99594,-4.99596
-4.90836,-4.90837
-4.70831,-4.70832
-4.40037,-4.40039
-3.99162,-3.99163
-3.4914,-3.49141
-2.91119,-2.91119
-2.26427,-2.26427
-1.56547,-1.56547
-0.830798,-0.830801
-0.0770931,-0.0770934
0.678379,0.678381
1.41831,1.41831
2.12574,2.12574
2.78446,2.78447
3.37938,3.37939
3.89688,3.89689
4.32508,4.32509
4.65418,4.65419
4.87664,4.87666
4.98737,4.98738
4.98381,4.98383
4.86607,4.86608
4.63682,4.63684
4.30134,4.30135
3.8673,3.86731
3.34464,3.34465
2.74536,2.74536
2.08316,2.08317
1.37324,1.37324
0.631849,0.631851
-0.124018,-0.124019
-0.877043,-0.877046
-1.60997,-1.60998
-2.30601,-2.30602
-2.94922,-2.94922
-3.52484,-3.52485
-4.01971,-4.01972
-4.42247,-4.42248
-4.72389,-4.72391
-4.91708,-4.9171
-4.99761,-4.99762
-4.96362,-4.96364
-4.81591,-4.81592
-4.55784,-4.55786
-4.19535,-4.19536
-3.73672,-3.73673
-3.19248,-3.19249
-2.57508,-2.57509
-1.89869,-1.89869
-1.17879,-1.17879
-0.431877,-0.431878
0.324929,0.32493
1.07429,1.07429
1.79903,1.79904
2.48256,2.48257
3.1092,3.10921
3.6646,3.66461
4.13603,4.13605
4.5127,4.51271
4.78596,4.78598
4.94957,4.94958
4.99977,4.99978
4.9354,4.93542
4.75795,4.75797
4.47149,4.4715
4.08256,4.08258
3.6001,3.60011
3.03514,3.03515
2.40064,2.40065
1.71114,1.71115
0.982429,0.982431
0.231205,0.231207
-0.52531,-0.525315
-1.26981,-1.2698
-1.98514,-1.98519
-2.65526,-2.6551
-3.26352,-3.26416
-3.80079,-3.79844
