0,0,0
0.0251301,0.0251301,0.0251301
0.0502443,0.0502443,0.0502443
0.0753268,0.0753268,0.0753268
0.100362,0.100362,0.100362
0.125333,0.125333,0.125333
0.150226,0.150226,0.150226
0.175023,0.175023,0.175023
0.19971,0.19971,0.19971
0.224271,0.224271,0.224271
0.24869,0.24869,0.24869
0.272952,0.272952,0.272952
0.297042,0.297042,0.297042
0.320944,0.320944,0.320944
0.344643,0.344643,0.344643
0.368125,0.368125,0.368125
0.391374,0.391374,0.391374
0.414376,0.414376,0.414376
0.437116,0.437116,0.437116
0.45958,0.45958,0.45958
0.481754,0.481754,0.481754
0.503623,0.503623,0.503623
0.525175,0.525175,0.525175
0.546394,0.546394,0.546394
0.567269,0.567269,0.567269
0.587785,0.587785,0.587785
0.60793,0.60793,0.60793
0.627691,0.627691,0.627691
0.647056,0.647056,0.647056
0.666012,0.666012,0.666012
0.684547,0.684547,0.684547
0.70265,0.70265,0.70265
0.720309,0.720309,0.720309
0.737513,0.737513,0.737513
0.754251,0.754251,0.754251
0.770513,0.770513,0.770513
0.786288,0.786288,0.786288
0.801567,0.801567,0.801567
0.816339,0.816339,0.816339
0.830596,0.830596,0.830596
0.844328,0.844328,0.844328
0.857527,0.857527,0.857527
0.870184,0.870184,0.870184
0.882291,0.882291,0.882291
0.893841,0.893841,0.893841
0.904827,0.904827,0.904827
0.915241,0.915241,0.915241
0.925077,0.925077,0.925077
0.934329,0.934329,0.934329
0.942991,0.942991,0.942991
0.951057,0.951057,0.951057
0.958522,0.958522,0.958522
0.965382,0.965382,0.965382
0.971632,0.971632,0.971632
0.977268,0.977268,0.977268
0.982287,0.982287,0.982287
0.986686,0.986686,0.986686
0.990461,0.990461,0.990461
0.993611,0.993611,0.993611
0.996134,0.996134,0.996134
0.998027,0.998027,0.998027
0.999289,0.999289,0.999289
0.999921,0.999921,0.999921
0.999921,0.999921,0.999921
0.999289,0.999289,0.999289
0.998027,0.998027,0.998027
0.996134,0.996134,0.996134
0.993611,0.993611,0.993611
0.990461,0.990461,0.990461
0.986686,0.986686,0.986686
0.982287,0.982287,0.982287
0.977268,0.977268,0.977268
0.971632,0.971632,0.971632
0.965382,0.965382,0.965382
0.958522,0.958522,0.958522
0.951057,0.951057,0.951057
0.942991,0.942991,0.942991
0.934329,0.934329,0.934329
0.925077,0.925077,0.925077
0.915241,0.915241,0.915241
0.904827,0.904827,0.904827
0.893841,0.893841,0.893841
0.882291,0.882291,0.882291
0.870184,0.870184,0.870184
0.857527,0.857527,0.857527
0.844328,0.844328,0.844328
0.830596,0.830596,0.830596
0.816339,0.816339,0.816339
0.801567,0.801567,0.801567
0.786288,0.786288,0.786288
0.770513,0.770513,0.770513
0.754251,0.754251,0.754251
0.737513,0.737513,0.737513
0.720309,0.720309,0.720309
0.70265,0.70265,0.70265
0.684547,0.684547,0.684547
0.666012,0.666012,0.666012
0.647056,0.647056,0.647056
0.627691,0.627691,0.627691
0.60793,0.60793,0.60793
0.587785,0.587785,0.587785
0.567269,0.567269,0.567269
0.546394,0.546394,0.546394
0.525175,0.525175,0.525175
0.503623,0.503623,0.503623
0.481754,0.481754,0.481754
0.45958,0.45958,0.45958
0.437116,0.437116,0.437116
0.414376,0.414376,0.414376
0.391374,0.391374,0.391374
0.368125,0.368125,0.368125
0.344643,0.344643,0.344643
0.320944,0.320944,0.320944
0.297042,0.297042,0.297042
0.272952,0.272952,0.272952
0.24869,0.24869,0.24869
0.224271,0.224271,0.224271
0.19971,0.19971,0.19971
0.175023,0.175023,0.175023
0.150226,0.150226,0.150226
0.125333,0.125333,0.125333
0.100362,0.100362,0.100362
0.0753268,0.0753268,0.0753268
0.0502443,0.0502443,0.0502443
0.0251301,0.0251301,0.0251301
1.22465e-16,1.22465e-16,1.22465e-16
-0.0251301,-0.0251301,-0.0251301
-0.0502443,-0.0502443,-0.0502443
-0.0753268,-0.0753268,-0.0753268
-0.100362,-0.100362,-0.100362
-0.125333,-0.125333,-0.125333
-0.150226,-0.150226,-0.150226
-0.175023,-0.175023,-0.175023
-0.19971,-0.19971,-0.19971
-0.224271,-0.224271,-0.224271
-0.24869,-0.24869,-0.24869
-0.272952,-0.272952,-0.272952
-0.297042,-0.297042,-0.297042
-0.320944,-0.320944,-0.320944
-0.344643,-0.344643,-0.344643
-0.368125,-0.368125,-0.368125
-0.391374,-0.391374,-0.391374
-0.414376,-0.414376,-0.414376
-0.437116,-0.437116,-0.437116
-0.45958,-0.45958,-0.45958
-0.481754,-0.481754,-0.481754
-0.503623,-0.503623,-0.503623
-0.525175,-0.525175,-0.525175
-0.546394,-0.546394,-0.546394
-0.567269,-0.567269,-0.567269
-0.587785,-0.587785,-0.587785
-0.60793,-0.60793,-0.60793
-0.627691,-0.627691,-0.627691
-0.647056,-0.647056,-0.647056
-0.666012,-0.666012,-0.666012
-0.684547,-0.684547,-0.684547
-0.70265,-0.70265,-0.70265
-0.720309,-0.720309,-0.720309
-0.737513,-0.737513,-0.737513
-0.754251,-0.754251,-0.754251
